rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0290.jpg,116.0,0.5543,0.5636,0.375,0.8,11,3,False,False
77,frame_0015.jpg,6.0,0.552,0.479,0.375,1.0,9,3,False,False
78,frame_0130.jpg,52.0,0.5519,0.5858,0.25,0.92,8,2,False,False
79,frame_0229.jpg,91.6,0.5508,0.6946,0.625,0.08,12,5,False,False
80,frame_0302.jpg,120.8,0.5493,0.6386,0.5,0.4,9,4,False,False
81,frame_0282.jpg,112.8,0.5484,0.5297,0.625,0.48,8,5,False,False
82,frame_0012.jpg,4.8,0.5475,0.47,0.375,1.0,8,3,False,False
83,frame_0303.jpg,121.2,0.5473,0.6506,0.5,0.36,11,4,False,False
84,frame_0026.jpg,10.4,0.5464,0.3928,0.5,1.0,10,4,False,False
85,frame_0381.jpg,152.4,0.5459,0.5508,0.875,0.04,14,7,False,False
86,frame_0293.jpg,117.2,0.5386,0.6981,0.125,0.76,10,1,False,False
87,frame_0072.jpg,28.8,0.5376,0.5252,0.25,1.0,13,2,False,False
88,frame_0386.jpg,154.4,0.5372,0.6034,0.625,0.24,14,5,False,False
89,frame_0185.jpg,74.0,0.5364,0.6658,0.625,0.08,10,5,False,False
90,frame_0373.jpg,149.2,0.5359,0.7077,0.5,0.16,13,4,False,False
91,frame_0388.jpg,155.2,0.534,0.554,0.75,0.16,14,6,False,False
92,frame_0113.jpg,45.2,0.5338,0.5216,0.75,0.24,13,6,False,False
93,frame_0327.jpg,130.8,0.5336,0.7512,0.5,0.04,14,4,False,False
94,frame_0383.jpg,153.2,0.5328,0.7176,0.5,0.12,13,4,False,False
95,frame_0128.jpg,51.2,0.5326,0.6543,0.125,0.84,9,1,False,False
96,frame_0390.jpg,156.0,0.5323,0.6577,0.625,0.08,10,5,False,False
97,frame_0230.jpg,92.0,0.5295,0.6361,0.625,0.12,13,5,False,False
98,frame_0391.jpg,156.4,0.5267,0.6623,0.625,0.04,12,5,False,False
99,frame_0168.jpg,67.2,0.5262,0.6033,0.375,0.56,11,3,False,False
100,frame_0319.jpg,127.6,0.5247,0.6374,0.5,0.28,9,4,False,False
101,frame_0117.jpg,46.8,0.5209,0.5817,0.5,0.4,12,4,False,False
102,frame_0129.jpg,51.6,0.5196,0.4621,0.375,0.88,9,3,False,False
103,frame_0131.jpg,52.4,0.5161,0.4983,0.25,0.96,6,2,False,False
104,frame_0095.jpg,38.0,0.5132,0.7375,0.375,0.16,10,3,False,False
105,frame_0320.jpg,128.0,0.512,0.628,0.5,0.24,12,4,False,False
106,frame_0273.jpg,109.2,0.5118,0.6756,0.5,0.12,12,4,False,False
107,frame_0170.jpg,68.0,0.5111,0.6801,0.25,0.48,11,2,False,False
108,frame_0301.jpg,120.4,0.51,0.619,0.375,0.44,11,3,False,False
109,frame_0006.jpg,2.4,0.5095,0.5441,0.125,1.0,9,1,False,False
110,frame_0167.jpg,66.8,0.509,0.5529,0.375,0.6,13,3,False,False
111,frame_0292.jpg,116.8,0.509,0.5479,0.25,0.8,9,2,False,False
112,frame_0208.jpg,83.2,0.5087,0.5634,0.25,0.76,12,2,False,False
113,frame_0203.jpg,81.2,0.5076,0.4592,0.5,0.64,7,4,False,False
114,frame_0232.jpg,92.8,0.5064,0.5578,0.625,0.2,14,5,False,False
115,frame_0177.jpg,70.8,0.5055,0.6309,0.5,0.2,14,4,False,False
116,frame_0090.jpg,36.0,0.5042,0.5644,0.5,0.36,10,4,False,False
117,frame_0083.jpg,33.2,0.5029,0.5248,0.375,0.64,7,3,False,False
118,frame_0321.jpg,128.4,0.5021,0.6243,0.5,0.2,11,4,False,False
119,frame_0013.jpg,5.2,0.4994,0.4488,0.25,1.0,8,2,False,False
120,frame_0375.jpg,150.0,0.4974,0.6899,0.375,0.2,12,3,False,False
121,frame_0274.jpg,109.6,0.497,0.705,0.375,0.16,14,3,False,False
122,frame_0305.jpg,122.0,0.4967,0.5815,0.5,0.28,9,4,False,False
123,frame_0020.jpg,8.0,0.493,0.361,0.375,1.0,9,3,False,False
124,frame_0133.jpg,53.2,0.4928,0.4356,0.25,1.0,13,2,False,False
125,frame_0175.jpg,70.0,0.4924,0.4977,0.625,0.28,12,5,False,False
126,frame_0011.jpg,4.4,0.4897,0.3545,0.375,1.0,7,3,False,False
127,frame_0215.jpg,86.0,0.4896,0.5622,0.375,0.48,10,3,False,False
128,frame_0094.jpg,37.6,0.4891,0.6732,0.375,0.2,9,3,False,False
129,frame_0086.jpg,34.4,0.4869,0.4658,0.5,0.52,10,4,False,False
130,frame_0306.jpg,122.4,0.4843,0.7226,0.25,0.24,10,2,False,False
131,frame_0393.jpg,157.2,0.4835,0.6509,0.5,0.04,9,4,False,False
132,frame_0395.jpg,158.0,0.4835,0.694,0.375,0.12,8,3,False,False
133,frame_0116.jpg,46.4,0.4803,0.6666,0.25,0.36,16,2,False,False
134,frame_0382.jpg,152.8,0.48,0.553,0.625,0.08,11,5,False,False
135,frame_0371.jpg,148.4,0.4789,0.7009,0.375,0.08,14,3,False,False
136,frame_0018.jpg,7.2,0.4776,0.4052,0.25,1.0,6,2,False,False
137,frame_0098.jpg,39.2,0.4735,0.7061,0.375,0.04,15,3,False,False
138,frame_0089.jpg,35.6,0.4729,0.4858,0.5,0.4,11,4,False,False
139,frame_0105.jpg,42.0,0.4684,0.6798,0.375,0.08,14,3,False,False
140,frame_0308.jpg,123.2,0.4683,0.5726,0.5,0.16,9,4,False,False
141,frame_0122.jpg,48.8,0.4676,0.6203,0.125,0.6,10,1,False,False
142,frame_0399.jpg,159.6,0.4663,0.5206,0.5,0.28,14,4,False,False
143,frame_0314.jpg,125.6,0.4659,0.5998,0.5,0.08,10,4,False,False
144,frame_0008.jpg,3.2,0.4647,0.3794,0.25,1.0,6,2,False,False
145,frame_0368.jpg,147.2,0.4647,0.6135,0.5,0.04,14,4,False,False
146,frame_0225.jpg,90.0,0.4639,0.6708,0.375,0.08,12,3,False,False
147,frame_0397.jpg,158.8,0.4633,0.6216,0.375,0.2,11,3,False,False
148,frame_0268.jpg,107.2,0.4602,0.5135,0.625,0.08,7,5,False,False
149,frame_0296.jpg,118.4,0.4593,0.5126,0.25,0.64,9,2,False,False
150,frame_0005.jpg,2.0,0.4586,0.3671,0.25,1.0,4,2,False,False
151,frame_0272.jpg,108.8,0.4583,0.5846,0.5,0.08,10,4,False,False
152,frame_0121.jpg,48.4,0.4543,0.5346,0.25,0.56,9,2,False,False
153,frame_0184.jpg,73.6,0.4539,0.6508,0.375,0.08,6,3,False,False
154,frame_0285.jpg,114.0,0.4526,0.5151,0.25,0.6,9,2,False,False
155,frame_0108.jpg,43.2,0.4508,0.5856,0.5,0.04,12,4,False,False
156,frame_0178.jpg,71.2,0.4492,0.6094,0.375,0.16,14,3,False,False
157,frame_0193.jpg,77.2,0.4461,0.5712,0.375,0.24,7,3,False,False
158,frame_0206.jpg,82.4,0.4457,0.3624,0.375,0.76,7,3,False,False
159,frame_0202.jpg,80.8,0.4448,0.4996,0.25,0.6,5,2,False,False
160,frame_0275.jpg,110.0,0.4423,0.7295,0.125,0.2,14,1,False,False
161,frame_0316.jpg,126.4,0.4398,0.5906,0.375,0.16,11,3,False,False
162,frame_0118.jpg,47.2,0.438,0.55,0.25,0.44,11,2,False,False
163,frame_0173.jpg,69.2,0.433,0.4971,0.375,0.36,11,3,False,False
164,frame_0398.jpg,159.2,0.429,0.537,0.375,0.24,10,3,False,False
165,frame_0025.jpg,10.0,0.4276,0.3052,0.25,1.0,9,2,False,False
166,frame_0096.jpg,38.4,0.4226,0.6471,0.25,0.12,12,2,False,False
167,frame_0289.jpg,115.6,0.4209,0.4628,0.125,0.76,10,1,False,False
168,frame_0188.jpg,75.2,0.4206,0.6003,0.375,0.04,12,3,False,False
169,frame_0269.jpg,107.6,0.4189,0.5968,0.375,0.04,10,3,False,False
170,frame_0082.jpg,32.8,0.4158,0.3345,0.375,0.68,11,3,False,False
171,frame_0324.jpg,129.6,0.4158,0.4995,0.5,0.08,14,4,False,False
172,frame_0226.jpg,90.4,0.4153,0.5897,0.375,0.04,13,3,False,False
173,frame_0223.jpg,89.2,0.4133,0.4626,0.5,0.16,16,4,False,False
174,frame_0281.jpg,112.4,0.4125,0.424,0.375,0.44,8,3,False,False
175,frame_0370.jpg,148.0,0.4117,0.5824,0.375,0.04,13,3,False,False
176,frame_0023.jpg,9.2,0.4096,0.2691,0.25,1.0,10,2,False,False
177,frame_0017.jpg,6.8,0.4075,0.34,0.125,1.0,6,1,False,False
178,frame_0174.jpg,69.6,0.4073,0.5365,0.25,0.32,10,2,False,False
179,frame_0119.jpg,47.6,0.4068,0.3967,0.375,0.48,12,3,False,False
180,frame_0213.jpg,85.2,0.4035,0.3581,0.375,0.56,5,3,False,False
181,frame_0209.jpg,83.6,0.4028,0.4426,0.125,0.72,9,1,False,False
182,frame_0102.jpg,40.8,0.4026,0.5321,0.375,0.12,10,3,False,False
183,frame_0101.jpg,40.4,0.4025,0.5479,0.375,0.08,12,3,False,False
184,frame_0394.jpg,157.6,0.3992,0.4664,0.5,0.08,9,4,False,False
185,frame_0179.jpg,71.6,0.3964,0.5947,0.25,0.12,16,2,False,False
186,frame_0219.jpg,87.6,0.396,0.514,0.25,0.32,9,2,False,False
187,frame_0222.jpg,88.8,0.396,0.4119,0.5,0.2,10,4,False,False
